"filename", "language", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\formStyles.module.css", "CSS", 0, 0, 31, 0, 0, 7, 38
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\loader.module.css", "CSS", 0, 0, 116, 0, 0, 1, 117
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\modalStyles.module.css", "CSS", 0, 0, 55, 0, 0, 11, 66
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\navDropDownStyles.module.css", "CSS", 0, 0, 20, 0, 0, 4, 24
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\oauthbuttonsStyles.module.css", "CSS", 0, 0, 6, 0, 0, 1, 7
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\paginationStyles.module.css", "CSS", 0, 0, 44, 0, 0, 10, 54
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\profileContainerStyles.module.css", "CSS", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\searchBox.module.css", "CSS", 0, 0, 34, 0, 0, 7, 41
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\smallLoader.module.css", "CSS", 0, 0, 172, 0, 0, 1, 173
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\userDropDownStyles.module.css", "CSS", 0, 0, 44, 0, 0, 10, 54
"c:\Users\Selcuk\Desktop\dark-lyst-website\tests\setup.js", "JavaScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Selcuk\Desktop\dark-lyst-website\tests\setupAfterEnv.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"c:\Users\Selcuk\Desktop\dark-lyst-website\utils\googleAuthHelpers.js", "JavaScript", 19, 0, 0, 0, 0, 5, 24
"c:\Users\Selcuk\Desktop\dark-lyst-website\utils\noAccountPassResetMailer.js", "JavaScript", 34, 0, 0, 0, 5, 5, 44
"c:\Users\Selcuk\Desktop\dark-lyst-website\utils\passResetMailer.js", "JavaScript", 30, 0, 0, 0, 5, 5, 40
"c:\Users\Selcuk\Desktop\dark-lyst-website\utils\randomStringGenerator.js", "JavaScript", 16, 0, 0, 0, 0, 3, 19
"c:\Users\Selcuk\Desktop\dark-lyst-website\utils\setAuthToken.js", "JavaScript", 14, 0, 0, 0, 0, 4, 18
"Total", "-", 20045, 20855, 632, 55, 176, 1597, 43360
